TOTAL,F,MED_E,PPS,UK	17164 	17360 	16518 	16343 	16083 b	15401 	15501 	16490 	18103 	18189 	17108 	16344 	: 	: 	14430 	13377 	12413 	12512 	11984 	11225 	11108 
TOTAL,F,MEI_E,EUR,AT	25452 	25228 	25535 	23757 	23762 	23444 	22971 	22237 	21136 b	19865 	19345 	19462 	18236 	17151 	15997 	15933 	15189 	14797 	15290 	15873 	15196 
TOTAL,F,MEI_E,EUR,BE	23479 	22992 	22947 	22758 	21457 	21259 	20918 	20495 	19473 	18789 	18355 	17814 	16571 	16720 	17350 	16754 	16075 	15333 	15344 	15393 	14772 
TOTAL,F,MEI_E,EUR,BG	3799 b	3951 	3824 	3468 	3218 	3383 	3448 	3212 	2604 	1690 	1554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CH	49327 	44053 	43029 b	45273 	43249 	37714 	33953 	32666 	30714 	31274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CY	16785 	16756 	18278 	19082 	19872 	19224 	18620 	18559 	18232 b	18294 	16325 	14960 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CZ	8565 	8132 	8375 	8478 	8550 	8249 	7810 	8100 	6652 	6025 	5319 	4729 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,DE	23411 	22973 	21964 	21840 	21401 	21037 	21018 	20814 	20595 	19720 	16906 	17767 	: 	: 	17081 	16739 	16032 	15548 	15901 	15659 	14668 
TOTAL,F,MEI_E,EUR,DK	31583 	31197 	30908 	29493 	29319 	29046 b	26556 	25787 	25536 	24728 	23666 	22873 	22369 	22119 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EA	20324 e	19881 e	19613 e	19647 e	19609 e	19386 e	: 	19283 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EA18	20450 e	20006 	19613 	19556 	19515 	19290 	19339 	19140 	18636 	16981 	15890 	15847 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EA19	20324 e	19881 	19484 	19423 	19377 	19145 	19194 	19002 	18493 	16839 	15749 	15700 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EE	9841 	9304 	8633 b	7639 	6913 	6422 	6609 	7009 	6077 	5117 	4198 	3538 	3137 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EL	8574 	8595 	8808 	9103 	10496 	12410 	13798 	13316 	12601 	11976 	11515 	10963 	10033 	9502 	8118 	7981 	7517 	7714 	6991 	6411 	6075 
TOTAL,F,MEI_E,EUR,ES	15719 	15328 	15278 	15551 	15964 	16070 	16721 	16684 	15915 b	13004 	12394 	11762 	11462 	: 	10374 	9539 	8785 	8164 	7944 	7549 	7373 
TOTAL,F,MEI_E,EUR,EU	18426 e	18129 e	17760 e	17340 e	17357 e	16893 e	: 	16670 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15221 e	14390 e	13623 e	13201 e	12593 e	12133 e	11770 e
TOTAL,F,MEI_E,EUR,EU27	18529 e	18232 	17865 	17440 	17456 	16987 	16827 	16670 	16542 	15503 	14353 e	14163 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EU28	18426 e	18129 	17760 	17340 	17357 	16893 	16738 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,FI	26036 	25867 	25658 	25468 	24756 	23689 	23033 	22642 	21481 	20321 	19839 	19118 	18177 	: 	15747 	15116 	14320 	14005 	13562 	13603 	: 
TOTAL,F,MEI_E,EUR,FR	25059 	24630 	24190 	24336 	24113 	23472 	23053 	22750 	22053 b	18088 	18054 	17890 	17263 	: 	16237 	15786 	15549 	15104 	15062 	14705 	14255 
